,avg,fix,lefteye,raw,righteye,state,time,timestamp,xRaw_righteye,yRaw_righteye,xRaw_lefteye,yRaw_lefteye,av_x_coord,av_y_coord,Subject,UniqueID,Group,Experiment,Trial,Run
10967,"{'x': 1014.9937, 'y': 528.6549}",True,"{'avg': {'x': 1060.3818, 'y': 558.2902}, 'pcenter': {'x': 0.47, 'y': 0.3625}, 'psize': 30.7029, 'raw': {'x': 1036.6874, 'y': 579.5042}}","{'x': 1007.0182, 'y': 558.006}","{'avg': {'x': 984.4355, 'y': 530.1046}, 'pcenter': {'x': 0.6075, 'y': 0.3627}, 'psize': 31.1587, 'raw': {'x': 977.3489, 'y': 536.5079}}",7,431762881,1554136182.209,977.3489,536.5079,1036.6874,579.5042,1007.01815,558.00605,16,74,1,/variabl,0,3
10968,"{'x': 1014.9937, 'y': 528.6549}",True,"{'avg': {'x': 1060.3818, 'y': 558.2902}, 'pcenter': {'x': 0.47, 'y': 0.3625}, 'psize': 30.7029, 'raw': {'x': 1036.6874, 'y': 579.5042}}","{'x': 1007.0182, 'y': 558.006}","{'avg': {'x': 984.4355, 'y': 530.1046}, 'pcenter': {'x': 0.6075, 'y': 0.3627}, 'psize': 31.1587, 'raw': {'x': 977.3489, 'y': 536.5079}}",7,431762881,1554136182.209,977.3489,536.5079,1036.6874,579.5042,1007.01815,558.00605,16,74,1,/variabl,0,3
10969,"{'x': 1014.9761, 'y': 529.9003}",True,"{'avg': {'x': 1058.9708, 'y': 559.9348}, 'pcenter': {'x': 0.47, 'y': 0.3624}, 'psize': 30.5419, 'raw': {'x': 1041.2402, 'y': 566.4611}}","{'x': 1014.8372, 'y': 553.7264}","{'avg': {'x': 984.8892, 'y': 531.438}, 'pcenter': {'x': 0.6075, 'y': 0.3626}, 'psize': 31.4013, 'raw': {'x': 988.434, 'y': 540.9918}}",7,431762914,1554136182.242,988.434,540.9918,1041.2402,566.4611,1014.8371,553.72645,16,74,1,/variabl,0,3
10970,"{'x': 1014.9761, 'y': 529.9003}",True,"{'avg': {'x': 1058.9708, 'y': 559.9348}, 'pcenter': {'x': 0.47, 'y': 0.3624}, 'psize': 30.5419, 'raw': {'x': 1041.2402, 'y': 566.4611}}","{'x': 1014.8372, 'y': 553.7264}","{'avg': {'x': 984.8892, 'y': 531.438}, 'pcenter': {'x': 0.6075, 'y': 0.3626}, 'psize': 31.4013, 'raw': {'x': 988.434, 'y': 540.9918}}",7,431762914,1554136182.242,988.434,540.9918,1041.2402,566.4611,1014.8371,553.72645,16,74,1,/variabl,0,3
10971,"{'x': 1012.9453, 'y': 530.4886}",True,"{'avg': {'x': 1057.1774, 'y': 562.3383}, 'pcenter': {'x': 0.47, 'y': 0.3626}, 'psize': 30.86, 'raw': {'x': 1033.5686, 'y': 586.949}}","{'x': 1001.0725, 'y': 564.3393}","{'avg': {'x': 983.8616, 'y': 532.7895}, 'pcenter': {'x': 0.6074, 'y': 0.3626}, 'psize': 31.717, 'raw': {'x': 968.5764, 'y': 541.7296}}",7,431762948,1554136182.276,968.5764,541.7296,1033.5686,586.949,1001.0725,564.3393,16,74,1,/variabl,0,3
10972,"{'x': 1012.9453, 'y': 530.4886}",True,"{'avg': {'x': 1057.1774, 'y': 562.3383}, 'pcenter': {'x': 0.47, 'y': 0.3626}, 'psize': 30.86, 'raw': {'x': 1033.5686, 'y': 586.949}}","{'x': 1001.0725, 'y': 564.3393}","{'avg': {'x': 983.8616, 'y': 532.7895}, 'pcenter': {'x': 0.6074, 'y': 0.3626}, 'psize': 31.717, 'raw': {'x': 968.5764, 'y': 541.7296}}",7,431762948,1554136182.276,968.5764,541.7296,1033.5686,586.949,1001.0725,564.3393,16,74,1,/variabl,0,3
10973,"{'x': 1012.3952, 'y': 531.7357}",True,"{'avg': {'x': 1055.9839, 'y': 562.5237}, 'pcenter': {'x': 0.4701, 'y': 0.3622}, 'psize': 30.828, 'raw': {'x': 1040.5314, 'y': 549.5786}}","{'x': 1010.8447, 'y': 548.8698}","{'avg': {'x': 984.2227, 'y': 534.1487}, 'pcenter': {'x': 0.6075, 'y': 0.3627}, 'psize': 31.7351, 'raw': {'x': 981.1581, 'y': 548.161}}",7,431762992,1554136182.32,981.1581,548.161,1040.5314,549.5786,1010.84475,548.8697999999999,16,74,1,/variabl,0,3
10974,"{'x': 1012.3952, 'y': 531.7357}",True,"{'avg': {'x': 1055.9839, 'y': 562.5237}, 'pcenter': {'x': 0.4701, 'y': 0.3622}, 'psize': 30.828, 'raw': {'x': 1040.5314, 'y': 549.5786}}","{'x': 1010.8447, 'y': 548.8698}","{'avg': {'x': 984.2227, 'y': 534.1487}, 'pcenter': {'x': 0.6075, 'y': 0.3627}, 'psize': 31.7351, 'raw': {'x': 981.1581, 'y': 548.161}}",7,431762992,1554136182.32,981.1581,548.161,1040.5314,549.5786,1010.84475,548.8697999999999,16,74,1,/variabl,0,3
10975,"{'x': 1012.4282, 'y': 533.2711}",True,"{'avg': {'x': 1054.2955, 'y': 563.7437}, 'pcenter': {'x': 0.4701, 'y': 0.3622}, 'psize': 30.8469, 'raw': {'x': 1037.8152, 'y': 572.525}}","{'x': 1007.2252, 'y': 564.4035}","{'avg': {'x': 984.0399, 'y': 536.2941}, 'pcenter': {'x': 0.6075, 'y': 0.3627}, 'psize': 31.9186, 'raw': {'x': 976.6351, 'y': 556.282}}",7,431763027,1554136182.355,976.6351,556.282,1037.8152,572.525,1007.22515,564.4035,16,74,1,/variabl,0,3
10976,"{'x': 1012.4282, 'y': 533.2711}",True,"{'avg': {'x': 1054.2955, 'y': 563.7437}, 'pcenter': {'x': 0.4701, 'y': 0.3622}, 'psize': 30.8469, 'raw': {'x': 1037.8152, 'y': 572.525}}","{'x': 1007.2252, 'y': 564.4035}","{'avg': {'x': 984.0399, 'y': 536.2941}, 'pcenter': {'x': 0.6075, 'y': 0.3627}, 'psize': 31.9186, 'raw': {'x': 976.6351, 'y': 556.282}}",7,431763027,1554136182.355,976.6351,556.282,1037.8152,572.525,1007.22515,564.4035,16,74,1,/variabl,0,3
